trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
898357,12:19:00,12:19:00,7513,17,,0,0,3.4341
898358,10:59:00,10:59:00,7513,17,,0,0,3.4341
898359,10:19:00,10:19:00,7513,17,,0,0,3.4341
898360, 9:39:00, 9:39:00,7513,17,,0,0,3.4341
898361, 9:04:00, 9:04:00,7513,17,,0,0,3.4341
898362, 8:34:00, 8:34:00,7513,17,,0,0,3.4341
898363, 8:04:00, 8:04:00,7513,17,,0,0,3.4341
898364, 7:34:00, 7:34:00,7513,17,,0,0,3.4341
898365, 7:04:00, 7:04:00,7513,17,,0,0,3.4341
898367,11:39:00,11:39:00,7513,17,,0,0,3.4341
898376,17:04:00,17:04:00,7513,17,,0,0,3.4341
898377,16:34:00,16:34:00,7513,17,,0,0,3.4341
898378,16:04:00,16:04:00,7513,17,,0,0,3.4341
898379,15:34:00,15:34:00,7513,17,,0,0,3.4341
898380,14:49:00,14:49:00,7513,17,,0,0,3.4341
898381,14:14:00,14:14:00,7513,17,,0,0,3.4341
898382,13:39:00,13:39:00,7513,17,,0,0,3.4341
898383,12:59:00,12:59:00,7513,17,,0,0,3.4341
898384, 6:34:00, 6:34:00,7513,17,,0,0,3.4341
898385, 5:54:00, 5:54:00,7513,17,,0,0,3.4341
898366,23:39:00,23:39:00,7513,17,,0,0,3.4341
898368,22:39:00,22:39:00,7513,17,,0,0,3.4341
898369,21:34:00,21:34:00,7513,17,,0,0,3.4341
898370,20:34:00,20:34:00,7513,17,,0,0,3.4341
898371,19:34:00,19:34:00,7513,17,,0,0,3.4341
898372,18:59:00,18:59:00,7513,17,,0,0,3.4341
898373,18:34:00,18:34:00,7513,17,,0,0,3.4341
898374,18:04:00,18:04:00,7513,17,,0,0,3.4341
898375,17:34:00,17:34:00,7513,17,,0,0,3.4341
898484, 9:39:00, 9:39:00,7513,1,,0,0,
898484, 9:39:53, 9:39:53,6816,2,,0,0,0.1926
