route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1421,10,899461,341 - NORWALK-WHEELS Hub,0,69605,99938
1421,10,899460,341 - NORWALK-WHEELS Hub,0,69594,99938
1421,10,899459,341 - NORWALK-WHEELS Hub,0,69601,99938
1421,10,899458,341 - NORWALK-WHEELS Hub,0,69606,99938
1421,10,899475,341C - NORWALK-WHEELS Hub via NCC,0,69598,99940
1421,10,899457,341C - NORWALK-WHEELS Hub via NCC,0,69593,99940
1421,10,899456,341 - NORWALK-WHEELS Hub,0,69599,99938
1421,10,899474,341C - NORWALK-WHEELS Hub via NCC,0,69603,99940
1421,10,899455,341C - NORWALK-WHEELS Hub via NCC,0,69602,99940
1421,10,899473,341 - NORWALK-WHEELS Hub,0,69607,99938
1421,10,899454,341C - NORWALK-WHEELS Hub via NCC,0,69594,99940
1421,10,899472,341 - NORWALK-WHEELS Hub,0,69601,99938
1421,10,899453,341 - NORWALK-WHEELS Hub,0,69604,99938
1421,10,899471,341C - NORWALK-WHEELS Hub via NCC,0,69598,99940
1421,10,899452,341C - NORWALK-WHEELS Hub via NCC,0,69593,99940
1421,10,899470,341 - NORWALK-WHEELS Hub,0,69599,99938
1421,10,899451,341C - NORWALK-WHEELS Hub via NCC,0,69603,99940
1421,10,899469,341 - NORWALK-WHEELS Hub,0,69602,99938
1421,10,899450,341C - NORWALK-WHEELS Hub via NCC,0,69594,99940
1421,10,899468,341C - NORWALK-WHEELS Hub via NCC,0,69601,99940
1421,10,899449,341 - NORWALK-WHEELS Hub,0,69604,99938
1421,10,899467,341 - NORWALK-WHEELS Hub,0,69598,99938
1421,10,899448,341C - NORWALK-WHEELS Hub via NCC,0,69595,99940
1421,10,899466,341 - NORWALK-WHEELS Hub,0,69593,99938
1421,10,899447,341 - NORWALK-WHEELS Hub,0,69599,99938
1421,10,899465,341C - NORWALK-WHEELS Hub via NCC,0,69597,99940
1421,10,899446,341 - NORWALK-WHEELS Hub,0,69603,99938
1421,10,899464,341C - NORWALK-WHEELS Hub via NCC,0,69602,99940
1421,10,899445,341C - NORWALK-WHEELS Hub via NCC,0,69596,99940
1421,10,899444,341 - NORWALK-WHEELS Hub,0,69594,99938
1421,10,899443,341 - NORWALK-WHEELS Hub,0,69601,99938
1421,10,899463,341C - NORWALK-WHEELS Hub via NCC,0,69593,99940
1421,10,899442,341 - NORWALK-WHEELS Hub,0,69604,99938
1421,10,899441,341 - NORWALK-WHEELS Hub,0,69598,99938
1421,10,899440,341 - NORWALK-WHEELS Hub,0,69597,99938
1421,10,899439,341 - NORWALK-WHEELS Hub,0,69596,99938
1421,10,899438,341 - NORWALK-WHEELS Hub,0,69593,99938
1421,10,899437,341 - NORWALK-WHEELS Hub,0,69598,99938
1421,10,899500,341 - STAMFORD via Darien,1,69603,99944
1421,10,899499,341 - STAMFORD via Darien,1,69605,99944
1421,10,899477,341 - STAMFORD via Darien,1,69607,99944
1421,10,899498,341 - STAMFORD via Darien,1,69594,99944
1421,10,899497,341 - STAMFORD via Darien,1,69601,99944
1421,10,899496,341 - STAMFORD via Darien,1,69604,99944
1421,10,899495,341 - STAMFORD via Darien,1,69606,99942
1421,10,899494,341 - STAMFORD via Darien,1,69598,99944
1421,10,899493,341 - STAMFORD via Darien,1,69593,99944
1421,10,899515,341 - STAMFORD via Darien,1,69599,99944
1421,10,899514,341 - STAMFORD via Darien,1,69603,99944
1421,10,899492,341C - STAMFORD via Darien-NCC,1,69602,99946
1421,10,899513,341 - STAMFORD via Darien,1,69594,99944
1421,10,899491,341 - STAMFORD via Darien,1,69601,99944
1421,10,899512,341C - STAMFORD via Darien-NCC,1,69604,99946
1421,10,899490,341C - STAMFORD via Darien-NCC,1,69598,99946
1421,10,899511,341 - STAMFORD via Darien,1,69593,99944
1421,10,899489,341C - STAMFORD via Darien-NCC,1,69599,99946
1421,10,899510,341 - STAMFORD via Darien,1,69603,99944
1421,10,899488,341C - STAMFORD via Darien-NCC,1,69602,99946
1421,10,899509,341C - STAMFORD via Darien-NCC,1,69594,99946
1421,10,899487,341C - STAMFORD via Darien-NCC,1,69601,99946
1421,10,899508,341 - STAMFORD via Darien,1,69604,99944
1421,10,899519,341 - STAMFORD via Darien,1,69600,99944
1421,10,899486,341C - STAMFORD via Darien-NCC,1,69598,99946
1421,10,899507,341 - STAMFORD via Darien,1,69595,99944
1421,10,899485,341C - STAMFORD via Darien-NCC,1,69593,99943
1421,10,899484,341 - STAMFORD via Darien,1,69599,99944
1421,10,899483,341 - STAMFORD via Darien,1,69597,99944
1421,10,899506,341C - STAMFORD via Darien-NCC,1,69603,99943
