stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
6630,,Washington Blvd and Tresser Blvd,41.050615,-73.542166,,,,
6632,,Broad St and Greyrock Pl,41.055237,-73.536587,,,,
6633,,Broad St and Grove St,41.055309,-73.53329,,,,
6634,,Glenbrook Rd and E Main St,41.055624,-73.529479,,,,
6635,,Glenbrook Rd and 55 Glenbrook Rd,41.057128,-73.52887,,,,
6636,,Glenbrook Rd and Daskam Place,41.059146,-73.527307,,,,
6637,,Hope St and Glenbrook Rd,41.061215,-73.526368,,,,
6638,,Hope St and 51 Hope St,41.062832,-73.526288,,,,
6639,,Hope St and Howes Ave,41.06427,-73.526302,,,,
6640,,Hope St and Rose St,41.070459,-73.52478,,,,
6641,,Hope St and Opp Glen Ave,41.07565,-73.522732,,,,
6642,,Hope St and Opp Toms Rd,41.077339,-73.522556,,,,
6644,,Hope St and Largo Dr,41.090093,-73.517666,,,,
6645,,Hope St and Fahey St,41.091271,-73.517905,,,,
6646,,Hope St and Cushing St,41.092745,-73.517836,,,,
6647,,Hope St and Greenway St,41.09468,-73.51837,,,,
6648,,Hope St and Opp Weed Hill Ave,41.09752,-73.520054,,,,
6649,,Hope St and Opp Minvale Rd,41.098748,-73.519406,,,,
6650,,Hope St and Bouton St E,41.100898,-73.516535,,,,
6651,,Hope St and Woodway Rd,41.102802,-73.516181,,,,
6652,,Woodway Rd and Highview Ave,41.102459,-73.513502,,,,
6653,,Woodway Rd and Regent Ct,41.102747,-73.511584,,,,
6655,,Hope St and Northill St,41.093048,-73.517995,,,,
6656,,Hope St and Bennett St,41.090806,-73.517973,,,,
6658,,Hope St and Toms Rd,41.078091,-73.5223,,,,
6659,,Hope St and Glen Ave,41.075729,-73.522924,,,,
6660,,Hope St and Glendale Dr,41.073224,-73.523859,,,,
6661,,Hope St and Rock Spring Rd,41.068589,-73.526933,,,,
6662,,Hope St and Treat Ave,41.066348,-73.526743,,,,
6663,,Hope St and Opp Howes Ave,41.064367,-73.526555,,,,
6664,,Hope St and Wenzel Ter,41.062107,-73.526533,,,,
6665,,Hope St and Opp Glenbrook Rd,41.061044,-73.526606,,,,
6666,,Glenbrook Rd and Arlington Rd,41.059108,-73.527727,,,,
6667,,Glenbrook Rd and 60 Glenbrook Rd,41.0571,-73.529134,,,,
6668,,Glenbrook Rd and E Main St,41.055641,-73.529719,,,,
6669,,Broad St and Grove St,41.055478,-73.533411,,,,
6670,,Broad St and Greyrock Pl,41.055078,-73.536322,,,,
6671,,Atlantic St and N State St,41.048932,-73.539726,,,,
6672,,Washington Blvd and Main St,41.052749,-73.542187,,,,
6674,,Tresser Blvd and Greyrock Pl,41.051563,-73.535471,,,,
6675,,Tresser Blvd and Elm St,41.052846,-73.532882,,,,
6677,,Elm St and Jefferson St,41.050206,-73.527315,,,,
6678,,Elm St and Wardwell St,41.049162,-73.52547,,,,
6679,,Cove Rd and Van Buskirk Ave,41.049586,-73.51823,,,,
6680,,Cove Rd and Willowbrook Ave,41.048843,-73.515105,,,,
6681,,Cove Rd and Avery St,41.048829,-73.509396,,,,
6682,,Cove Rd and Euclid Ave,41.04883,-73.507574,,,,
6683,,Cove Rd and Weed Ave,41.048841,-73.503928,,,,
6684,,Weed Ave and 322 Weed Ave,41.050755,-73.503287,,,,
6687,,Mathews St and Seaside Ave,41.054876,-73.509455,,,,
6688,,Seaside Ave and Sylvan Knoll Rd,41.053276,-73.509619,,,,
6689,,Cove Rd and Opp Avery St,41.04899,-73.50947,,,,
6690,,Cove Rd and Opp George St,41.048988,-73.511497,,,,
6691,,Cove Rd and Opp Willowbrook Ave,41.049022,-73.515107,,,,
6692,,Cove Rd and Opp Van Buskirk Ave,41.049736,-73.518448,,,,
6693,,Cove Rd and Leeds St,41.049536,-73.520736,,,,
6694,,Cove Rd and Elm St,41.048812,-73.524207,,,,
6695,,Elm St and St Mary Church,41.049385,-73.525496,,,,
6696,,Elm St and Myrtle Ave,41.050535,-73.527522,,,,
6699,,Tresser Blvd and Greyrock Pl,41.051523,-73.536346,,,,
6702,,Greenwich Ave and West St,41.047511,-73.546284,,,,
6708,,Fairfield Ave and Barry Pl,41.034101,-73.553281,,,,
6713,,Southfield Ave and Opp Sunnyside Ave,41.03743,-73.547404,,,,
6716,,Greenwich Ave and Opp Milton St,41.042572,-73.54778,,,,
6717,,Greenwich Ave and Davenport St,41.043755,-73.547133,,,,
6720,,Bedford St and Chester St,41.067179,-73.542801,,,,
6721,,Bedford St and Locust Ln,41.070993,-73.54753,,,,
6722,,High Ridge Rd and Halpin Ave,41.073702,-73.548757,,,,
6723,,High Ridge Rd and Opp Cross Rd,41.077224,-73.549681,,,,
6724,,High Ridge Rd and Opp Terrace Ave,41.079287,-73.549846,,,,
6725,,High Ridge Rd and High Clear Dr,41.081773,-73.549211,,,,
6726,,High Ridge Rd and Opp Lakeview Dr,41.084544,-73.548927,,,,
6727,,High Ridge Rd and Opp Longview Ave,41.088307,-73.548438,,,,
6728,,High Ridge Rd and Dannell Dr,41.090221,-73.547881,,,,
6729,,High Ridge Rd and Bel Aire Dr,41.095645,-73.547493,,,,
6730,,High Ridge Rd and Donata Ln,41.100441,-73.547553,,,,
6732,,High Ridge Rd and Turn of River Rd,41.103484,-73.548052,,,,
6733,,High Ridge Rd and Cobs Bread,41.107372,-73.547636,,,,
6734,,High Ridge Rd and Food Mart,41.109805,-73.546929,,,,
6736,,High Ridge Rd and Opp Wire Mill Rd,41.113213,-73.546015,,,,
6738,,High Ridge Rd and Brantwood Ln,41.116238,-73.545073,,,,
6739,,High Ridge Rd and Perna Ln,41.119014,-73.543757,,,,
6740,,High Ridge Rd and Meredith Ln,41.121861,-73.544074,,,,
6741,,Scofieldtown Rd and Opp Old Logging Rd,41.124992,-73.551225,,,,
6742,,Scofieldtown Rd and Opp Janes Ln,41.12593,-73.552747,,,,
6743,,Scofieldtown Rd and Middle Ridge Rd,41.12702,-73.554355,,,,
6744,,Scofieldtown Rd and Woodley Rd,41.128137,-73.555687,,,,
6745,,Scofieldtown Rd and Opp Chestnut Hill Rd,41.130589,-73.558138,,,,
6746,,Scofieldtown Rd and Brookdale Rd,41.131955,-73.55814,,,,
6747,,Scofieldtown Rd and Opp Haviland Rd,41.13392,-73.558256,,,,
6748,,Scofieldtown Rd and Opp Rock Rimmon Rd,41.137607,-73.558558,,,,
6749,,Rock Rimmon Rd and Smith House,41.139678,-73.561882,,,,
6750,,High Ridge Rd and Interlaken Rd,41.125334,-73.544373,,,,
6751,,High Ridge Rd and Opp Brookdale Rd,41.133409,-73.545908,,,,
6752,,High Ridge Rd and Opp Alma Rock Rd,41.139154,-73.54563,,,,
6753,,High Ridge Rd and Bartlett Ln,41.141405,-73.545569,,,,
6754,,High Ridge Rd and Pinner Ln,41.145067,-73.547287,,,,
6755,,High Ridge Rd and Bracchi Dr,41.148449,-73.551045,,,,
6756,,High Ridge Rd and Opp Sunset Rd,41.152084,-73.555778,,,,
6758,,High Ridge Rd and Briar Brae Rd,41.156761,-73.559441,,,,
6759,,High Ridge Rd and Alexandra Dr,41.154641,-73.55847,,,,
6760,,High Ridge Rd and Sunset Rd,41.15194,-73.555884,,,,
6761,,High Ridge Rd and Hoyclo Rd,41.148225,-73.551042,,,,
